Gene
ENSMUSG00000096417
ENSMUSG00000076826
ENSMUSG00000094220
ENSMUSG00000096908
ENSMUSG00000094468
ENSMUSG00000094766
ENSMUSG00000076831
ENSMUSG00000096900
ENSMUSG00000096149
ENSMUSG00000096551
ENSMUSG00000095862
ENSMUSG00000096615
ENSMUSG00000106620
ENSMUSG00000096825
ENSMUSG00000076839
ENSMUSG00000076840
ENSMUSG00000094016
ENSMUSG00000104738
ENSMUSG00000094966
ENSMUSG00000093966
ENSMUSG00000104815
ENSMUSG00000096656
ENSMUSG00000095958
ENSMUSG00000076846
ENSMUSG00000095711
ENSMUSG00000076848
ENSMUSG00000094828
ENSMUSG00000096678
ENSMUSG00000096096
ENSMUSG00000095607
ENSMUSG00000095126
ENSMUSG00000096138
ENSMUSG00000082663
ENSMUSG00000085302
ENSMUSG00000076855
ENSMUSG00000094562
ENSMUSG00000094212
ENSMUSG00000105090
ENSMUSG00000076858
ENSMUSG00000105380
ENSMUSG00000096397
ENSMUSG00000076861
ENSMUSG00000076862
ENSMUSG00000086858
ENSMUSG00000076863
ENSMUSG00000104650
ENSMUSG00000106289
ENSMUSG00000090574
ENSMUSG00000090782
ENSMUSG00000076874
ENSMUSG00000076875
ENSMUSG00000076876
ENSMUSG00000076877
ENSMUSG00000091005
ENSMUSG00000091326
ENSMUSG00000076878
ENSMUSG00000076879
ENSMUSG00000076880
ENSMUSG00000076881
ENSMUSG00000076882
ENSMUSG00000076883
ENSMUSG00000105216
ENSMUSG00000076884
ENSMUSG00000076885
ENSMUSG00000076886
ENSMUSG00000076887
ENSMUSG00000076888
ENSMUSG00000076889
ENSMUSG00000076890
ENSMUSG00000076891
ENSMUSG00000076892
ENSMUSG00000076893
ENSMUSG00000090494
ENSMUSG00000076894
ENSMUSG00000076895
ENSMUSG00000076896
ENSMUSG00000076897
ENSMUSG00000076898
ENSMUSG00000076899
ENSMUSG00000076900
ENSMUSG00000076901
ENSMUSG00000076902
ENSMUSG00000076903
ENSMUSG00000076904
ENSMUSG00000076905
ENSMUSG00000076906
ENSMUSG00000076907
ENSMUSG00000076908
ENSMUSG00000076909
ENSMUSG00000076910
ENSMUSG00000076911
ENSMUSG00000076912
ENSMUSG00000076913
ENSMUSG00000076914
ENSMUSG00000076915
ENSMUSG00000076916
ENSMUSG00000076917
ENSMUSG00000076918
ENSMUSG00000076919
ENSMUSG00000076920
ENSMUSG00000076921
ENSMUSG00000076922
ENSMUSG00000076923
ENSMUSG00000076924
ENSMUSG00000076925
ENSMUSG00000076926
ENSMUSG00000076927
ENSMUSG00000076928
ENSMUSG00000076461
ENSMUSG00000076462
ENSMUSG00000076463
ENSMUSG00000107486
ENSMUSG00000076465
ENSMUSG00000103807
ENSMUSG00000102622
ENSMUSG00000102821
ENSMUSG00000104198
ENSMUSG00000091671
ENSMUSG00000102903
ENSMUSG00000095574
ENSMUSG00000076467
ENSMUSG00000094525
ENSMUSG00000076469
ENSMUSG00000102327
ENSMUSG00000076470
ENSMUSG00000076471
ENSMUSG00000076472
ENSMUSG00000076473
ENSMUSG00000076474
ENSMUSG00000102409
ENSMUSG00000076475
ENSMUSG00000076476
ENSMUSG00000076477
ENSMUSG00000102988
ENSMUSG00000076478
ENSMUSG00000102955
ENSMUSG00000104473
ENSMUSG00000076479
ENSMUSG00000104254
ENSMUSG00000104326
ENSMUSG00000076480
ENSMUSG00000076481
ENSMUSG00000076483
ENSMUSG00000076484
ENSMUSG00000076485
ENSMUSG00000076486
ENSMUSG00000076487
ENSMUSG00000076488
ENSMUSG00000076489
ENSMUSG00000076490
ENSMUSG00000094569
ENSMUSG00000076492
ENSMUSG00000076493
ENSMUSG00000076494
ENSMUSG00000076495
ENSMUSG00000076496
ENSMUSG00000090818
ENSMUSG00000076497
ENSMUSG00000076498
ENSMUSG00000076499
ENSMUSG00000095668
